,rx,ry,rz,Data,latitude,longitude,r,end
0,6872.058253819427,60.481840262497755,37.81240262132209,2022-11-10 18:00:00,0.31524548239062383,0.5042542692725976,6872.428426304726,end
1,6870.948538361627,120.95755298378654,75.620237759027,2022-11-10 18:00:10,0.630462356972046,1.0085421913053483,6872.429189653127,end
2,6869.09914049408,181.42103784175472,113.41895387203849,2022-11-10 18:00:20,0.9456221399430118,1.5128976373683223,6872.430461925789,end
3,6866.510251237899,241.8661955218404,151.2040004550174,2022-11-10 18:00:30,1.2606963383510525,2.0173544704725543,6872.432243146888,end
4,6863.18213762372,302.2869282072036,188.9708285471682,2022-11-10 18:00:40,1.5756564454613322,2.521946541208113,6872.434533351631,end
5,6859.115142676116,362.6771400713898,226.71489124194204,2022-11-10 18:00:50,1.8904739361432485,3.0267076835693376,6872.437332586598,end
6,6854.3096853887,423.0307377653557,264.4316441952054,2022-11-10 18:01:00,2.205120262259686,3.5316717106908544,6872.44064090476,end
7,6848.766260704689,483.341630911943,302.11654613452805,2022-11-10 18:01:10,2.5195668480806073,4.036872410586078,6872.444458370526,end
8,6842.485439486261,543.6037325967905,339.765059367752,2022-11-10 18:01:20,2.8337850857130102,4.542343541791198,6872.448785057756,end
9,6835.467868481335,603.8109598605625,377.37265029148165,2022-11-10 18:01:30,3.147746330554361,5.048118828941291,6872.45362104951,end
10,6827.714270285888,663.9572341917195,414.9347898993689,2022-11-10 18:01:40,3.4614218967724333,5.554231958261447,6872.458966437698,end
11,6819.225443301969,724.0364820199152,452.4469542901761,2022-11-10 18:01:50,3.774783052815016,6.060716572962333,6872.464821322781,end
12,6810.002261691209,784.0426352100746,489.9046251755886,2022-11-10 18:02:00,4.087801016953024,6.567606268529547,6872.471185813366,end
13,6800.045675323921,843.969631557231,527.3032903877522,2022-11-10 18:02:10,4.400446952860553,7.074934587896143,6872.478060025813,end
14,6789.356709723647,903.8114152821723,564.6384443865147,2022-11-10 18:02:20,4.712691965235594,7.5827350164876846,6872.485444083755,end
15,6777.936466007246,963.5619375279833,601.9055887663441,2022-11-10 18:02:30,5.024507095465061,8.091040977129271,6872.493338117662,end
16,6765.78612082032,1023.2151568575218,639.1002327628929,2022-11-10 18:02:40,5.335863317337937,8.599885824803907,6872.5017422642695,end
17,6752.9069262680905,1082.765039751909,676.2178937591947,2022-11-10 18:02:50,5.646731532810477,9.109302841251614,6872.510656666064,end
18,6739.300209841602,1142.205561110085,713.2540977914571,2022-11-10 18:03:00,5.957082567827363,9.61932522939876,6872.52008147071,end
19,6724.967374339138,1201.5307047494782,750.2043800544168,2022-11-10 18:03:10,6.26688716820289,10.129986107607042,6872.53001683037,end
20,6709.909897782983,1260.7344639078715,787.0642854062561,2022-11-10 18:03:20,6.576115995566418,10.641318503731657,6872.540462901122,end
21,6694.129333331271,1319.810841746485,823.8293688730217,2022-11-10 18:03:30,6.884739623376255,11.153355348978133,6872.55141984223,end
